valueCategory,temporal,temporal_type,georegion,georegion_type,agegroup,agegroup_type,sex,value,pop,incValue,valueYearCumSum,valueMean3y,trend,prct,deltaValue,deltaIncValue,incValuePrctChange,valueMean5y,dataComplete
cases,2013-M01,month,CHFL,CHFL,all,agegroup_food,all,810,8176573,9.91,810,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M02,month,CHFL,CHFL,all,agegroup_food,all,339,8176573,4.15,1149,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M03,month,CHFL,CHFL,all,agegroup_food,all,299,8176573,3.66,1448,NA,NA,NA,NA,NA,NA,NA,TRUE
cases,2013-M04,month,CHFL,CHFL,all,agegroup_food,all,405,8176573,4.95,1853,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M05,month,CHFL,CHFL,all,agegroup_food,all,488,8176573,5.97,2341,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M06,month,CHFL,CHFL,all,agegroup_food,all,683,8176573,8.35,3024,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M07,month,CHFL,CHFL,all,agegroup_food,all,784,8176573,9.59,3808,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M08,month,CHFL,CHFL,all,agegroup_food,all,862,8176573,10.54,4670,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2013-M09,month,CHFL,CHFL,all,agegroup_food,all,745,8176573,9.11,5415,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M10,month,CHFL,CHFL,all,agegroup_food,all,743,8176573,9.09,6158,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2013-M11,month,CHFL,CHFL,all,agegroup_food,all,611,8176573,7.47,6769,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2013-M12,month,CHFL,CHFL,all,agegroup_food,all,782,8176573,9.56,7551,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M01,month,CHFL,CHFL,all,agegroup_food,all,779,8274608,9.41,779,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M02,month,CHFL,CHFL,all,agegroup_food,all,400,8274608,4.83,1179,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M03,month,CHFL,CHFL,all,agegroup_food,all,420,8274608,5.08,1599,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2014-M04,month,CHFL,CHFL,all,agegroup_food,all,457,8274608,5.52,2056,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M05,month,CHFL,CHFL,all,agegroup_food,all,521,8274608,6.3,2577,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2014-M06,month,CHFL,CHFL,all,agegroup_food,all,722,8274608,8.73,3299,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2014-M07,month,CHFL,CHFL,all,agegroup_food,all,848,8274608,10.25,4147,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2014-M08,month,CHFL,CHFL,all,agegroup_food,all,957,8274608,11.57,5104,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2014-M09,month,CHFL,CHFL,all,agegroup_food,all,668,8274608,8.07,5772,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2014-M10,month,CHFL,CHFL,all,agegroup_food,all,620,8274608,7.49,6392,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2014-M11,month,CHFL,CHFL,all,agegroup_food,all,566,8274608,6.84,6958,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2014-M12,month,CHFL,CHFL,all,agegroup_food,all,588,8274608,7.11,7546,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2015-M01,month,CHFL,CHFL,all,agegroup_food,all,619,8362816,7.4,619,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M02,month,CHFL,CHFL,all,agegroup_food,all,254,8362816,3.04,873,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M03,month,CHFL,CHFL,all,agegroup_food,all,277,8362816,3.31,1150,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2015-M04,month,CHFL,CHFL,all,agegroup_food,all,363,8362816,4.34,1513,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M05,month,CHFL,CHFL,all,agegroup_food,all,535,8362816,6.4,2048,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2015-M06,month,CHFL,CHFL,all,agegroup_food,all,654,8362816,7.82,2702,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2015-M07,month,CHFL,CHFL,all,agegroup_food,all,783,8362816,9.36,3485,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2015-M08,month,CHFL,CHFL,all,agegroup_food,all,856,8362816,10.24,4341,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2015-M09,month,CHFL,CHFL,all,agegroup_food,all,701,8362816,8.38,5042,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2015-M10,month,CHFL,CHFL,all,agegroup_food,all,568,8362816,6.79,5610,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2015-M11,month,CHFL,CHFL,all,agegroup_food,all,485,8362816,5.8,6095,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2015-M12,month,CHFL,CHFL,all,agegroup_food,all,775,8362816,9.27,6870,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M01,month,CHFL,CHFL,all,agegroup_food,all,817,8457360,9.66,817,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2016-M02,month,CHFL,CHFL,all,agegroup_food,all,433,8457360,5.12,1250,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M03,month,CHFL,CHFL,all,agegroup_food,all,424,8457360,5.01,1674,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2016-M04,month,CHFL,CHFL,all,agegroup_food,all,464,8457360,5.49,2138,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2016-M05,month,CHFL,CHFL,all,agegroup_food,all,619,8457360,7.32,2757,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2016-M06,month,CHFL,CHFL,all,agegroup_food,all,703,8457360,8.31,3460,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2016-M07,month,CHFL,CHFL,all,agegroup_food,all,863,8457360,10.2,4323,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2016-M08,month,CHFL,CHFL,all,agegroup_food,all,1086,8457360,12.84,5409,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2016-M09,month,CHFL,CHFL,all,agegroup_food,all,841,8457360,9.94,6250,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M10,month,CHFL,CHFL,all,agegroup_food,all,655,8457360,7.74,6905,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2016-M11,month,CHFL,CHFL,all,agegroup_food,all,620,8457360,7.33,7525,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2016-M12,month,CHFL,CHFL,all,agegroup_food,all,550,8457360,6.5,8075,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M01,month,CHFL,CHFL,all,agegroup_food,all,537,8522244,6.3,537,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M02,month,CHFL,CHFL,all,agegroup_food,all,317,8522244,3.72,854,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M03,month,CHFL,CHFL,all,agegroup_food,all,446,8522244,5.23,1300,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M04,month,CHFL,CHFL,all,agegroup_food,all,391,8522244,4.59,1691,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M05,month,CHFL,CHFL,all,agegroup_food,all,552,8522244,6.48,2243,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M06,month,CHFL,CHFL,all,agegroup_food,all,725,8522244,8.51,2968,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M07,month,CHFL,CHFL,all,agegroup_food,all,854,8522244,10.02,3822,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M08,month,CHFL,CHFL,all,agegroup_food,all,1052,8522244,12.34,4874,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2017-M09,month,CHFL,CHFL,all,agegroup_food,all,725,8522244,8.51,5599,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2017-M10,month,CHFL,CHFL,all,agegroup_food,all,647,8522244,7.59,6246,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M11,month,CHFL,CHFL,all,agegroup_food,all,557,8522244,6.54,6803,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2017-M12,month,CHFL,CHFL,all,agegroup_food,all,439,8522244,5.15,7242,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M01,month,CHFL,CHFL,all,agegroup_food,all,556,8582905,6.48,556,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M02,month,CHFL,CHFL,all,agegroup_food,all,353,8582905,4.11,909,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M03,month,CHFL,CHFL,all,agegroup_food,all,344,8582905,4.01,1253,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M04,month,CHFL,CHFL,all,agegroup_food,all,393,8582905,4.58,1646,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M05,month,CHFL,CHFL,all,agegroup_food,all,580,8582905,6.76,2226,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2018-M06,month,CHFL,CHFL,all,agegroup_food,all,764,8582905,8.9,2990,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2018-M07,month,CHFL,CHFL,all,agegroup_food,all,1031,8582905,12.01,4021,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2018-M08,month,CHFL,CHFL,all,agegroup_food,all,1031,8582905,12.01,5052,NA,rising,NA,NA,NA,NA,NA,TRUE
cases,2018-M09,month,CHFL,CHFL,all,agegroup_food,all,741,8582905,8.63,5793,NA,stagnant,NA,NA,NA,NA,NA,TRUE
cases,2018-M10,month,CHFL,CHFL,all,agegroup_food,all,719,8582905,8.38,6512,NA,falling,NA,NA,NA,NA,NA,TRUE
cases,2018-M11,month,CHFL,CHFL,all,agegroup_food,all,635,8582905,7.4,7147,NA,falling,NA,NA,NA,NA,NA,TRUE
