station_abbr;reference_timestamp;ths2dymn;ths2dymx;ths200m0;th9120mv;th91dnmv;th91dxmv;ths00nm0;pva2hsm0;ths25xm0;pv9120mv;ths00xm0;ths20nm0;thl200mx;phsstam0;thl200mn;ph9120mv;ths30xm0;xhs000m0;fhs010m0;fh9120mv;rhs001m0;ths35xm0;rhs150m0;rh9120mv;ghs000m0;gh9120mv;shs000m0;sh9120mv;xhs00om0;xhs012m0
LUG;01.01.1864 00:00;;;-1.7;-5.5;;;;;;;;;;;;;;;;;;;7.5;11;;;;;;
LUG;01.02.1864 00:00;;;1.7;-3.3;;;;;;;;;;;;;;;;;;;92.7;151;;;;;;
LUG;01.03.1864 00:00;;;7.2;-1.7;;;;;;;;;;;;;;;;;;;80.4;106;;;;;;
LUG;01.04.1864 00:00;;;10.9;-1.4;;;;;;;;;;;;;;;;;;;12.8;9;;;;;;
LUG;01.05.1864 00:00;;;15;-1.3;;;;;;;;;;;;;;;;;;;134;75;;;;;;
LUG;01.06.1864 00:00;;;18.3;-2.1;;;;;;;;;;;;;;;;;;;169.2;99;;;;;;
LUG;01.07.1864 00:00;15.5;26.6;21.1;-1.5;-2.5;-0.7;;;;;;;;;;;;;;;;;49.6;31;;;;;;
LUG;01.08.1864 00:00;14.8;25.9;19.6;-2.5;-3;-0.9;;;;;;;;;;;;;;;;;179.3;113;;;;;;
LUG;01.09.1864 00:00;12.2;21.9;16.5;-1.4;-2;-0.2;;;;;;;;;;;;;;;;;242.1;147;;;;;;
LUG;01.10.1864 00:00;6.9;15.1;10.4;-2.8;-3.3;-1.8;;;;;;;;;;;;;;;;;307.9;206;;;;;;
LUG;01.11.1864 00:00;3.7;11.5;7.4;-1;-2;-0.1;;;;;;;;;;;;;;;;;94.3;57;;;;;;
LUG;01.12.1864 00:00;0.8;7.6;3.5;-1.1;-1.2;-0.1;;;;;;;;;;;;;;;;;47.5;59;;;;;;
LUG;01.01.1865 00:00;-0.9;6.6;1.9;-1.9;-2.1;-0.5;;;;;;;;;;;;;;;;;36.8;56;;;;;;
LUG;01.02.1865 00:00;-1.2;7.9;2.2;-2.8;-3.1;-1.1;;;;;;;;;;;;;;;;;8.8;14;;;;;;
LUG;01.03.1865 00:00;1;7.1;3.7;-5.2;-4.2;-6.4;;;;;;;;;;;;;;;;;78.4;104;;;;;;
LUG;01.04.1865 00:00;8.2;19;13.6;1.3;-0.3;2.3;;;;;;;;;;;;;;;;;5.2;4;;;;;;
LUG;01.05.1865 00:00;12;20.7;16.4;0.1;-0.4;-0.1;;;;;;;;;;;;;;;;;140;79;;;;;;
LUG;01.06.1865 00:00;14.8;24.2;19.5;-0.9;-1.3;-0.7;;;;;;;;;;;;;;;;;160.8;94;;;;;;
LUG;01.07.1865 00:00;16.6;26.7;22;-0.6;-1.4;-0.6;;;;;;;;;;;;;;;;;131.9;84;;;;;;
LUG;01.08.1865 00:00;15.6;24;19.5;-2.6;-2.2;-2.8;;;;;;;;;;;;;;;;;252.4;160;;;;;;
LUG;01.09.1865 00:00;14.2;24.7;18.8;0.9;0;2.6;;;;;;;;;;;;;;;;;20;12;;;;;;
LUG;01.10.1865 00:00;8.4;16.4;11.7;-1.5;-1.8;-0.5;;;;;;;;;;;;;;;;;220.6;147;;;;;;
LUG;01.11.1865 00:00;4.8;12.3;8;-0.4;-0.9;0.7;;;;;;;;;;;;;;;;;242.2;145;;;;;;
LUG;01.12.1865 00:00;-0.1;8.4;3.2;-1.4;-2.1;0.7;;;;;;;;;;;;;;;;;91.4;114;;;;;;
LUG;01.01.1866 00:00;-0.2;8.3;2.9;-0.9;-1.4;1.2;;;;;;;;;;;;;;;;;43.5;66;;;;;;
LUG;01.02.1866 00:00;2.2;10.2;5.4;0.4;0.3;1.2;;;;;;;;;;;;;;;;;80.4;131;;;;;;
LUG;01.03.1866 00:00;3.1;10.8;6.7;-2.2;-2.1;-2.7;;;;;;;;;;;;;;;;;207.1;274;;;;;;
LUG;01.04.1866 00:00;7.8;15.4;11.4;-0.9;-0.7;-1.3;;;;;;;;;;;;;;;;;185.7;135;;;;;;
LUG;01.05.1866 00:00;9.8;17.7;13.3;-3;-2.6;-3.1;;;;;;;;;;;;;;;;;292.1;164;;;;;;
LUG;01.06.1866 00:00;14.5;23.6;19.2;-1.2;-1.6;-1.3;;;;;;;;;;;;;;;;;154.8;90;;;;;;
LUG;01.07.1866 00:00;15.6;26.9;21.4;-1.2;-2.4;-0.4;;;;;;;;;;;;;;;;;115.2;73;;;;;;
LUG;01.08.1866 00:00;14;23.9;19;-3.1;-3.8;-2.9;;;;;;;;;;;;;;;;;100.4;63;;;;;;
LUG;01.09.1866 00:00;12.6;21.9;17;-0.9;-1.6;-0.2;;;;;;;;;;;;;;;;;148.8;90;;;;;;
LUG;01.10.1866 00:00;7.6;16.6;11.3;-1.9;-2.6;-0.3;;;;;;;;;;;;;;;;;15.9;11;;;;;;
LUG;01.11.1866 00:00;2.2;12.7;6.9;-1.5;-3.5;1.1;;;;;;;;;;;;;;;;;3.9;2;;;;;;
LUG;01.12.1866 00:00;0.2;9.1;4.1;-0.5;-1.8;1.4;;;;;;;;;;;;;;;;;12.2;15;;;;;;
LUG;01.01.1867 00:00;-1.4;6.1;1.7;-2.1;-2.6;-1;;;;;;;;;;;;;;;;;166.6;254;;;;;;
LUG;01.02.1867 00:00;2.5;11.7;5.9;0.9;0.6;2.7;;;;;;;;;;;;;;;;;50.3;82;;;;;;
LUG;01.03.1867 00:00;3.8;10.4;7.1;-1.8;-1.4;-3.1;;;;;;;;;;;;;;;;;174.2;231;;;;;;
LUG;01.04.1867 00:00;7.8;17.4;13;0.7;-0.7;0.7;;;;;;;;;;;;;;;;;115;83;;;;;;
LUG;01.05.1867 00:00;10.1;19.6;15;-1.3;-2.3;-1.2;;;;;;;;;;;;;;;;;163.8;92;;;;;;
LUG;01.06.1867 00:00;14.4;25.2;19.7;-0.7;-1.7;0.3;;;;;;;;;;;;;;;;;106.8;62;;;;;;
LUG;01.07.1867 00:00;15.5;26.1;20.3;-2.3;-2.5;-1.2;;;;;;;;;;;;;;;;;140.3;89;;;;;;
LUG;01.08.1867 00:00;15.7;26.8;20.8;-1.3;-2.1;0;;;;;;;;;;;;;;;;;48.9;31;;;;;;
LUG;01.09.1867 00:00;13.5;24;18.1;0.2;-0.7;1.9;;;;;;;;;;;;;;;;;223.4;135;;;;;;
LUG;01.10.1867 00:00;6.7;15.8;10.7;-2.5;-3.5;-1.1;;;;;;;;;;;;;;;;;252.2;168;;;;;;
LUG;01.11.1867 00:00;2.1;12.7;7;-1.4;-3.6;1.1;;;;;;;;;;;;;;;;;125.4;75;;;;;;
LUG;01.12.1867 00:00;-0.4;7.6;3.8;-0.8;-2.4;-0.1;;;;;;;;;;;;;;;;;24.4;31;;;;;;
LUG;01.01.1868 00:00;-2.7;4.9;0.6;-3.2;-3.9;-2.2;;;;;;;;;;;;;;;;;112.7;172;;;;;;
LUG;01.02.1868 00:00;0.3;10.5;4.9;-0.1;-1.6;1.5;;;;;;;;;;;;;;;;;3;5;;;;;;
LUG;01.03.1868 00:00;2.2;11.1;7.1;-1.8;-3;-2.4;;;;;;;;;;;;;;;;;25.9;34;;;;;;
LUG;01.04.1868 00:00;6.5;14.7;10.9;-1.4;-2;-2;;;;;;;;;;;;;;;;;130.3;94;;;;;;
LUG;01.05.1868 00:00;13.9;23.2;18.6;2.3;1.5;2.4;;;;;;;;;;;;;;;;;111.5;63;;;;;;
LUG;01.06.1868 00:00;15.6;24.2;20;-0.4;-0.5;-0.7;;;;;;;;;;;;;;;;;231.8;135;;;;;;
LUG;01.07.1868 00:00;16.2;25.5;21.3;-1.3;-1.8;-1.8;;;;;;;;;;;;;;;;;173;110;;;;;;
LUG;01.08.1868 00:00;16.2;25;20.4;-1.7;-1.6;-1.8;;;;;;;;;;;;;;;;;233.4;148;;;;;;
LUG;01.09.1868 00:00;14.2;21.8;17.9;0;0;-0.3;;;;;;;;;;;;;;;;;414.1;251;;;;;;
LUG;01.10.1868 00:00;9.7;18;13.1;-0.1;-0.5;1.1;;;;;;;;;;;;;;;;;270.1;180;;;;;;
LUG;01.11.1868 00:00;1.9;11.2;5.5;-2.9;-3.8;-0.4;;;;;;;;;;;;;;;;;160.7;96;;;;;;
LUG;01.12.1868 00:00;2.8;9;5.7;1.1;0.8;1.3;;;;;;;;;;;;;;;;;81.8;102;;;;;;
LUG;01.01.1869 00:00;-1.8;6.4;1.2;-2.6;-3;-0.7;;;;;;;;;;;;;;;;;9.1;14;;;;;;
LUG;01.02.1869 00:00;2.6;11.8;5.9;0.9;0.7;2.8;;;;;;;;;;;;;;;;;41.6;68;;;;;;
LUG;01.03.1869 00:00;1.9;7.3;4.5;-4.4;-3.3;-6.2;;;;;;;;;;;;;;;;;172.9;229;;;;;;
LUG;01.04.1869 00:00;7;16.2;11.9;-0.4;-1.5;-0.5;;;;;;;;;;;;;;;;;139.5;101;;;;;;
LUG;01.05.1869 00:00;13;18.6;16.2;-0.1;0.6;-2.2;;;;;;;;;;;;;;;;;279.9;158;;;;;;
LUG;01.06.1869 00:00;12.7;20.8;17.3;-3.1;-3.4;-4.1;;;;;;;;;;;;;;;;;260.4;152;;;;;;
LUG;01.07.1869 00:00;17.8;27.1;23.3;0.7;-0.2;-0.2;;;;;;;;;;;;;;;;;48.4;31;;;;;;
LUG;01.08.1869 00:00;14.8;24.5;19.8;-2.3;-3;-2.3;;;;;;;;;;;;;;;;;107.7;68;;;;;;
LUG;01.09.1869 00:00;13.7;22.6;17.8;-0.1;-0.5;0.5;;;;;;;;;;;;;;;;;136.9;83;;;;;;
