station_abbr;reference_timestamp;ths2dymn;ths2dymx;ths200m0;th9120mv;th91dnmv;th91dxmv;ths00nm0;pva2hsm0;ths25xm0;pv9120mv;ths00xm0;ths20nm0;thl200mx;phsstam0;thl200mn;ph9120mv;ths30xm0;xhs000m0;fhs010m0;fh9120mv;rhs001m0;ths35xm0;rhs150m0;rh9120mv;ghs000m0;gh9120mv;shs000m0;sh9120mv;xhs00om0;xhs012m0
LUZ;01.01.1864 00:00;;;;;;;;;;;;;;;;;;;;;;;37.9;68;;;;;;
LUZ;01.02.1864 00:00;;;;;;;;;;;;;;;;;;;;;;;22.7;37;;;;;;
LUZ;01.03.1864 00:00;;;;;;;;;;;;;;;;;;;;;;;62.7;83;;;;;;
LUZ;01.04.1864 00:00;;;;;;;;;;;;;;;;;;;;;;;138.4;143;;;;;;
LUZ;01.05.1864 00:00;;;;;;;;;;;;;;;;;;;;;;;144.6;97;;;;;;
LUZ;01.06.1864 00:00;;;;;;;;;;;;;;;;;;;;;;;193.7;118;;;;;;
LUZ;01.07.1864 00:00;;;;;;;;;;;;;;;;;;;;;;;145.9;88;;;;;;
LUZ;01.08.1864 00:00;;;;;;;;;;;;;;;;;;;;;;;68.9;41;;;;;;
LUZ;01.09.1864 00:00;;;;;;;;;;;;;;;;;;;;;;;99.8;91;;;;;;
LUZ;01.10.1864 00:00;;;;;;;;;;;;;;;;;;;;;;;31.2;35;;;;;;
LUZ;01.11.1864 00:00;;;;;;;;;;;;;;;;;;;;;;;68.9;88;;;;;;
LUZ;01.12.1864 00:00;;;;;;;;;;;;;;;;;;;;;;;4.2;5;;;;;;
LUZ;01.01.1865 00:00;;;;;;;;;;;;;;;;;;;;;;;66.5;119;;;;;;
LUZ;01.02.1865 00:00;;;;;;;;;;;;;;;;;;;;;;;73.1;119;;;;;;
LUZ;01.03.1865 00:00;;;;;;;;;;;;;;;;;;;;;;;71;94;;;;;;
LUZ;01.04.1865 00:00;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;
LUZ;01.05.1865 00:00;;;;;;;;;;;;;;;;;;;;;;;86.4;58;;;;;;
LUZ;01.06.1865 00:00;;;;;;;;;;;;;;;;;;;;;;;55.2;34;;;;;;
LUZ;01.07.1865 00:00;;;;;;;;;;;;;;;;;;;;;;;163.5;99;;;;;;
LUZ;01.08.1865 00:00;;;;;;;;;;;;;;;;;;;;;;;212.4;125;;;;;;
LUZ;01.09.1865 00:00;;;;;;;;;;;;;;;;;;;;;;;0;0;;;;;;
LUZ;01.10.1865 00:00;;;;;;;;;;;;;;;;;;;;;;;75.6;86;;;;;;
LUZ;01.11.1865 00:00;;;;;;;;;;;;;;;;;;;;;;;90.8;117;;;;;;
LUZ;01.12.1865 00:00;;;;;;;;;;;;;;;;;;;;;;;10.5;13;;;;;;
LUZ;01.01.1866 00:00;;;;;;;;;;;;;;;;;;;;;;;28.7;51;;;;;;
LUZ;01.02.1866 00:00;;;;;;;;;;;;;;;;;;;;;;;126.6;207;;;;;;
LUZ;01.03.1866 00:00;;;;;;;;;;;;;;;;;;;;;;;145.2;193;;;;;;
LUZ;01.04.1866 00:00;;;;;;;;;;;;;;;;;;;;;;;99.7;103;;;;;;
LUZ;01.05.1866 00:00;;;;;;;;;;;;;;;;;;;;;;;117.5;79;;;;;;
LUZ;01.06.1866 00:00;;;;;;;;;;;;;;;;;;;;;;;77.7;47;;;;;;
LUZ;01.07.1866 00:00;;;;;;;;;;;;;;;;;;;;;;;81.8;49;;;;;;
LUZ;01.08.1866 00:00;;;;;;;;;;;;;;;;;;;;;;;278.3;164;;;;;;
LUZ;01.09.1866 00:00;;;;;;;;;;;;;;;;;;;;;;;102.8;94;;;;;;
LUZ;01.10.1866 00:00;;;;;;;;;;;;;;;;;;;;;;;29.2;33;;;;;;
LUZ;01.11.1866 00:00;;;;;;;;;;;;;;;;;;;;;;;90.8;117;;;;;;
LUZ;01.12.1866 00:00;;;;;;;;;;;;;;;;;;;;;;;80.5;103;;;;;;
LUZ;01.01.1867 00:00;;;;;;;;;;;;;;;;;;;;;;;173;310;;;;;;
LUZ;01.02.1867 00:00;;;;;;;;;;;;;;;;;;;;;;;66.9;109;;;;;;
LUZ;01.03.1867 00:00;;;;;;;;;;;;;;;;;;;;;;;119;158;;;;;;
LUZ;01.04.1867 00:00;;;;;;;;;;;;;;;;;;;;;;;121.1;125;;;;;;
LUZ;01.05.1867 00:00;;;;;;;;;;;;;;;;;;;;;;;179.6;121;;;;;;
LUZ;01.06.1867 00:00;;;;;;;;;;;;;;;;;;;;;;;157.2;96;;;;;;
LUZ;01.07.1867 00:00;;;;;;;;;;;;;;;;;;;;;;;68.8;42;;;;;;
LUZ;01.08.1867 00:00;;;;;;;;;;;;;;;;;;;;;;;128;75;;;;;;
LUZ;01.09.1867 00:00;;;;;;;;;;;;;;;;;;;;;;;131.8;121;;;;;;
LUZ;01.10.1867 00:00;;;;;;;;;;;;;;;;;;;;;;;187.5;213;;;;;;
LUZ;01.11.1867 00:00;;;;;;;;;;;;;;;;;;;;;;;31.3;40;;;;;;
LUZ;01.12.1867 00:00;;;;;;;;;;;;;;;;;;;;;;;66.9;85;;;;;;
LUZ;01.01.1868 00:00;;;;;;;;;;;;;;;;;;;;;;;42;75;;;;;;
LUZ;01.02.1868 00:00;;;;;;;;;;;;;;;;;;;;;;;15.4;25;;;;;;
LUZ;01.03.1868 00:00;;;;;;;;;;;;;;;;;;;;;;;91.9;122;;;;;;
LUZ;01.04.1868 00:00;;;;;;;;;;;;;;;;;;;;;;;86.5;90;;;;;;
LUZ;01.05.1868 00:00;;;;;;;;;;;;;;;;;;;;;;;30.1;20;;;;;;
LUZ;01.06.1868 00:00;;;;;;;;;;;;;;;;;;;;;;;117.9;72;;;;;;
LUZ;01.07.1868 00:00;;;;;;;;;;;;;;;;;;;;;;;167.2;101;;;;;;
LUZ;01.08.1868 00:00;;;;;;;;;;;;;;;;;;;;;;;96;56;;;;;;
LUZ;01.09.1868 00:00;;;;;;;;;;;;;;;;;;;;;;;91.9;84;;;;;;
LUZ;01.10.1868 00:00;;;;;;;;;;;;;;;;;;;;;;;176.4;200;;;;;;
LUZ;01.11.1868 00:00;;;;;;;;;;;;;;;;;;;;;;;29.2;37;;;;;;
LUZ;01.12.1868 00:00;;;;;;;;;;;;;;;;;;;;;;;161.1;205;;;;;;
LUZ;01.01.1869 00:00;;;;;;;;;;;;;;;;;;;;;;;47.1;84;;;;;;
LUZ;01.02.1869 00:00;;;;;;;;;;;;;;;;;;;;;;;38.1;62;;;;;;
LUZ;01.03.1869 00:00;;;;;;;;;;;;;;;;;;;;;;;75.2;100;;;;;;
LUZ;01.04.1869 00:00;;;;;;;;;;;;;;;;;;;;;;;68.2;71;;;;;;
LUZ;01.05.1869 00:00;;;;;;;;;;;;;;;;;;;;;;;120.4;81;;;;;;
LUZ;01.06.1869 00:00;;;;;;;;;;;;;;;;;;;;;;;80.5;49;;;;;;
LUZ;01.07.1869 00:00;;;;;;;;;;;;;;;;;;;;;;;105.9;64;;;;;;
LUZ;01.08.1869 00:00;;;;;;;;;;;;;;;;;;;;;;;236.6;139;;;;;;
LUZ;01.09.1869 00:00;;;;;;;;;;;;;;;;;;;;;;;93.9;86;;;;;;
LUZ;01.10.1869 00:00;;;;;;;;;;;;;;;;;;;;;;;83.7;95;;;;;;
LUZ;01.11.1869 00:00;;;;;;;;;;;;;;;;;;;;;;;88.7;114;;;;;;
LUZ;01.12.1869 00:00;;;;;;;;;;;;;;;;;;;;;;;43.9;56;;;;;;
LUZ;01.01.1870 00:00;;;;;;;;;;;;;;;;;;;;;;;19.5;35;;;;;;
LUZ;01.02.1870 00:00;;;;;;;;;;;;;;;;;;;;;;;29.9;49;;;;;;
