parameter_shortname;parameter_description_de;parameter_description_fr;parameter_description_it;parameter_description_en;parameter_group_de;parameter_group_fr;parameter_group_it;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
fh9120mv;"Windgeschwindigkeit skalar; Verhältnis des homogenen Monatsmittels zur Norm 9120";"Vitesse du vent scalaire; rapport de la moyenne mensuelle homogène à la norme 9120";"Velocità del vento scalare; media mensile omogenea rispetto alla norma 9120";"Wind speed scalar; relation of the homogeneous monthly mean to the norm 9120";Wind;Vent;Vento;Wind;M;0;Integer;%
fh9120yv;"Windgeschwindigkeit skalar; Verhältnis des homogenen Jahresmittels zur Norm 9120";"Vitesse du vent scalaire; rapport de la moyenne annuelle homogène à la norme 9120";"Velocità del vento scalare; media annuale omogenea rispetto alla norma 9120";"Wind speed scalar; relation of the homogeneous yearly mean to the norm 9120";Wind;Vent;Vento;Wind;Y;0;Integer;%
fhs010m0;"Windgeschwindigkeit skalar; homogenes Monatsmittel";"Vitesse du vent scalaire; moyenne mensuelle homogène";"Velocità del vento scalare; media mensile omogenea";"Wind speed scalar; homogeneous monthly mean";Wind;Vent;Vento;Wind;M;1;Float;m/s
fhs010y0;"Windgeschwindigkeit skalar; homogenes Jahresmittel";"Vitesse du vent scalaire; moyenne annuelle homogène";"Velocità del vento scalare; media annuale omogenea";"Wind speed scalar; homogeneous annual mean";Wind;Vent;Vento;Wind;Y;1;Float;m/s
gh9120mv;"Globalstrahlung; Verhältnis des homogenen Monatsmittels zur Norm 9120";"Rayonnement global; rapport de la moyenne mensuelle homogène à la norme 9120";"Radiazione globale; media mensile omogenea rispetto alla norma 9120";"Global radiation; relation of the homogeneous monthly mean to the norm 9120";Strahlung;Rayonnement;Radiazione;Radiation;M;0;Integer;%
gh9120yv;"Globalstrahlung; Verhältnis des homogenen Jahresmittels zur Norm 9120";"Rayonnement global; rapport de la moyenne annuelle homogène à la norme 9120";"Radiazione globale; media annuale omogenea rispetto alla norma 9120";"Global radiation; relation of the homogeneous yearly mean to the norm 9120";Strahlung;Rayonnement;Radiazione;Radiation;Y;0;Integer;%
ghs000m0;"Globalstrahlung; homogenes Monatsmittel";"Rayonnement global; moyenne mensuelle homogène";"Radiazione globale; media mensile omogenea";"Global radiation; homogeneous monthly mean";Strahlung;Rayonnement;Radiazione;Radiation;M;0;Integer;W/m²
ghs000y0;"Globalstrahlung; homogenes Jahresmittel";"Rayonnement global; moyenne annuelle homogène";"Radiazione globale; media annuale omogenea";"Global radiation; homogeneous annual mean";Strahlung;Rayonnement;Radiazione;Radiation;Y;0;Integer;W/m²
ph9120mv;"Luftdruck auf Barometerhöhe (QFE); Abweichung des homogenen Monatsmittels von der Norm 9120";"Pression atmosphérique à l'altitude du baromètre (QFE); déviation de la moyenne mensuelle homogène par rapport à la norme 9120";"Pressione all'altitudine barometrica (QFE); deviazione della media mensile omogenea dalla norma 9120";"Atmospheric pressure at barometric altitude (QFE); deviation of the homogeneous monthly mean to the norm 9120";Druck;Pression;Pressione;Pressure;M;1;Float;hPa
ph9120yv;"Luftdruck auf Barometerhöhe (QFE); Abweichung des homogenen Jahresmittels von der Norm 9120";"Pression atmosphérique à l'altitude du baromètre (QFE); déviation de la moyenne annuelle homogène par rapport à la norme 9120";"Pressione all'altitudine barometrica (QFE); deviazione della media annuale omogenea dalla norma 9120";"Atmospheric pressure at barometric altitude (QFE); deviation of the homogeneous yearly mean from the norm 9120";Druck;Pression;Pressione;Pressure;Y;1;Float;hPa
phsstam0;"Luftdruck auf Barometerhöhe (QFE); homogenes Monatsmittel";"Pression atmosphérique à l'altitude du baromètre (QFE); moyenne mensuelle homogène";"Pressione all'altitudine barometrica (QFE); media mensile omogenea";"Atmospheric pressure at barometric altitude (QFE); homogeneous monthly mean";Druck;Pression;Pressione;Pressure;M;1;Float;hPa
