station_abbr;reference_timestamp;ths2dymn;ths2dymx;ths200m0;th9120mv;th91dnmv;th91dxmv;ths00nm0;pva2hsm0;ths25xm0;pv9120mv;ths00xm0;ths20nm0;thl200mx;phsstam0;thl200mn;ph9120mv;ths30xm0;xhs000m0;fhs010m0;fh9120mv;rhs001m0;ths35xm0;rhs150m0;rh9120mv;ghs000m0;gh9120mv;shs000m0;sh9120mv;xhs00om0;xhs012m0
STG;01.01.1864 00:00;;;-6.5;-6.7;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.02.1864 00:00;;;-1.9;-2.7;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.03.1864 00:00;;;3.5;-0.9;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.04.1864 00:00;;;4.2;-3.9;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.05.1864 00:00;;;9.9;-2.3;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.06.1864 00:00;;;12.5;-3.2;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.07.1864 00:00;;;14.7;-2.8;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.08.1864 00:00;;;14;-3.2;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.09.1864 00:00;;;12;-1.1;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.10.1864 00:00;;;6.5;-2.7;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.11.1864 00:00;;;1.8;-2.5;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.12.1864 00:00;;;-4.8;-6.1;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.01.1865 00:00;;;-0.1;-0.3;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.02.1865 00:00;;;-3.8;-4.6;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.03.1865 00:00;;;-3;-7.4;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.04.1865 00:00;;;10.3;2.2;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.05.1865 00:00;;;13.6;1.4;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.06.1865 00:00;;;13.6;-2.1;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.07.1865 00:00;;;17.3;-0.2;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.08.1865 00:00;;;14;-3.2;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.09.1865 00:00;;;14.4;1.3;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.10.1865 00:00;;;9.1;-0.1;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.11.1865 00:00;;;5.2;0.9;;;;;;;;;;;;;;;;;;;;;;;;;;
STG;01.12.1865 00:00;;;-2.8;-4.1;;;;;;;;;;;;;;;;;;;8.5;9;;;;;;
