disease,month,cases,pop,days,inc_day,tmean,tmean1,anom0,anom1,pandemic
Campylobacteriosis,2013-01-01,810,8176573,31,0.319559701332875,1.3,2.34285714285714,-0.938775510204082,-0.861538461538462,FALSE
Salmonellosis,2013-01-01,87,8176573,31,0.0343230790320496,1.3,2.34285714285714,-0.938775510204082,-0.861538461538462,FALSE
Campylobacteriosis,2013-02-01,339,8176573,28,0.148071115577918,-0.271428571428571,1.3,-4.1469387755102,-0.938775510204082,FALSE
Salmonellosis,2013-02-01,76,8176573,28,0.0331958843183534,-0.271428571428571,1.3,-4.1469387755102,-0.938775510204082,FALSE
Campylobacteriosis,2013-03-01,299,8176573,31,0.117960926788308,3.4,-0.271428571428571,-3.36428571428571,-4.1469387755102,FALSE
Salmonellosis,2013-03-01,63,8176573,31,0.0248546434370014,3.4,-0.271428571428571,-3.36428571428571,-4.1469387755102,FALSE
Campylobacteriosis,2013-04-01,405,8176573,30,0.165105845688652,9.5,3.4,-1.05408163265306,-3.36428571428571,FALSE
Salmonellosis,2013-04-01,92,8176573,30,0.0375055254403852,9.5,3.4,-1.05408163265306,-3.36428571428571,FALSE
Campylobacteriosis,2013-05-01,488,8176573,31,0.192524857099313,11.5142857142857,9.5,-2.45102040816326,-1.05408163265306,FALSE
Salmonellosis,2013-05-01,88,8176573,31,0.0347175971818432,11.5142857142857,9.5,-2.45102040816326,-1.05408163265306,FALSE
Campylobacteriosis,2013-06-01,683,8176573,30,0.278437759519381,16.8571428571429,11.5142857142857,-2.30408163265306,-2.45102040816326,FALSE
Salmonellosis,2013-06-01,87,8176573,30,0.0354671816664512,16.8571428571429,11.5142857142857,-2.30408163265306,-2.45102040816326,FALSE
Campylobacteriosis,2013-07-01,784,8176573,31,0.30930222943824,21.1142857142857,16.8571428571429,0.257142857142856,-2.30408163265306,FALSE
Salmonellosis,2013-07-01,91,8176573,31,0.0359011516312243,21.1142857142857,16.8571428571429,0.257142857142856,-2.30408163265306,FALSE
Campylobacteriosis,2013-08-01,862,8176573,31,0.340074645122146,19.3571428571429,21.1142857142857,-0.839795918367347,0.257142857142856,FALSE
Salmonellosis,2013-08-01,217,8176573,31,0.0856104385052271,19.3571428571429,21.1142857142857,-0.839795918367347,0.257142857142856,FALSE
Campylobacteriosis,2013-09-01,745,8176573,30,0.303713222316163,15.4714285714286,19.3571428571429,-0.398901098901099,-0.839795918367347,FALSE
Salmonellosis,2013-09-01,133,8176573,30,0.0542199443866438,15.4714285714286,19.3571428571429,-0.398901098901099,-0.839795918367347,FALSE
Campylobacteriosis,2013-10-01,743,8176573,31,0.293126985296699,12.0428571428571,15.4714285714286,0.464835164835165,-0.398901098901099,FALSE
Salmonellosis,2013-10-01,151,8176573,31,0.0595722406188446,12.0428571428571,15.4714285714286,0.464835164835165,-0.398901098901099,FALSE
