disease,year,sum_months,n_months,annual,diff
Campylobacteriosis,2013,7551,12,7551,0
Campylobacteriosis,2014,7546,12,7546,0
Campylobacteriosis,2015,6870,12,6870,0
Campylobacteriosis,2016,8075,12,8075,0
Campylobacteriosis,2017,7242,12,7242,0
Campylobacteriosis,2018,7728,12,7728,0
Campylobacteriosis,2019,7253,12,7253,0
Campylobacteriosis,2020,6042,12,6042,0
Campylobacteriosis,2021,6802,12,6802,0
Campylobacteriosis,2022,7645,12,7645,0
Campylobacteriosis,2023,6784,12,6784,0
Campylobacteriosis,2024,8360,12,8360,0
Campylobacteriosis,2025,8716,12,8716,0
Salmonellosis,2013,1271,12,1271,0
Salmonellosis,2014,1240,12,1240,0
Salmonellosis,2015,1355,12,1355,0
Salmonellosis,2016,1520,12,1520,0
Salmonellosis,2017,1836,12,1836,0
Salmonellosis,2018,1470,12,1470,0
Salmonellosis,2019,1543,12,1543,0
Salmonellosis,2020,1249,12,1249,0
Salmonellosis,2021,1484,12,1484,0
Salmonellosis,2022,1844,12,1844,0
Salmonellosis,2023,1823,12,1823,0
Salmonellosis,2024,2263,12,2263,0
Salmonellosis,2025,2288,12,2288,0
