analysis,term,rr,lo,hi,p
"Main model (7 stations, HAC SE)",both months (sum),1.03813178213908,1.01371077419899,1.06314110939468,0.00206160038807229
Model-based SE instead of HAC,both months (sum),1.03813178213908,1.01859250889056,1.05804586984553,0.000113267918193908
Quasi-Poisson,both months (sum),1.03553681851191,1.01278216724295,1.05880270918764,0.00206711891158647
Pandemic months excluded (Mar 2020-Jun 2021),both months (sum),1.04854172430184,1.02895708433074,1.06849912823816,8.33200842377992e-07
December and January excluded,both months (sum),1.0224404582226,0.998301683244098,1.04716290491802,0.0686738389855056
Zürich station only,both months (sum),1.03541792320816,1.01187562099986,1.05950796071295,0.00301631463585732
Adjusted for precipitation anomaly,both months (sum),1.03862526193037,1.0145939012588,1.06322582205702,0.00150837880052474
Complete years only (2013-2025),both months (sum),1.03657404663174,1.01119525349609,1.06258979206598,0.00450718765699784
Smooth time trend instead of year effects,both months (sum),1.02964746603768,1.0019982230857,1.05805966506902,0.035401226449636
Adjusted for previous month's cases (autoregressive term),both months (sum),1.03255701451897,1.01239858061537,1.05311683426528,0.00144758987590207
