term,rr,lo,hi,p,disease,model,resid_acf1
January,1.77652482677181,1.62699235970422,1.93980041842996,1.44133191529307e-37,Campylobacteriosis,temperature splines + year,0.276346237081807
December,1.49919721531272,1.3236835502139,1.69798309425104,1.83900499166775e-10,Campylobacteriosis,temperature splines + year,0.276346237081807
January,1.71123801401813,1.55171697542017,1.88715828144355,5.302195877871e-27,Campylobacteriosis,+ one seasonal harmonic,0.322517746462824
December,1.38686954019975,1.20656947679684,1.59411219869415,4.16935367077308e-06,Campylobacteriosis,+ one seasonal harmonic,0.322517746462824
January,1.75842293092306,1.61841040265331,1.91054827559609,1.49269082239876e-40,Campylobacteriosis,pandemic months excluded,0.198630227890007
December,1.44594359258152,1.27313363165711,1.64221007201439,1.35821308057322e-08,Campylobacteriosis,pandemic months excluded,0.198630227890007
January,1.76242001674305,1.61227784034076,1.92654407180842,1.03137877969555e-35,Campylobacteriosis,temperature splines with 5 df,0.279358116641923
December,1.45394379457781,1.26637167225883,1.66929867755227,1.08971520990902e-07,Campylobacteriosis,temperature splines with 5 df,0.279358116641923
January,1.19083633995456,1.02431086305613,1.38443439360328,0.0230540761284049,Salmonellosis,temperature splines + year,-0.000843291407001635
December,0.936142451253243,0.818861534911613,1.07022085135923,0.333916802618917,Salmonellosis,temperature splines + year,-0.000843291407001635
January,1.02345591786815,0.887880224635397,1.17973346714584,0.74913054005023,Salmonellosis,+ one seasonal harmonic,0.0275749969447297
December,0.704430154244437,0.591700660130978,0.838636620920786,8.22100404410928e-05,Salmonellosis,+ one seasonal harmonic,0.0275749969447297
January,1.18083569202011,1.01465721839657,1.37423053447753,0.0317109314212283,Salmonellosis,pandemic months excluded,-0.0471636854036227
December,0.893034044239524,0.786948269827578,1.01342087497763,0.0795372679685929,Salmonellosis,pandemic months excluded,-0.0471636854036227
January,1.24189063607403,1.07436641063375,1.43553664439174,0.00338689197472482,Salmonellosis,temperature splines with 5 df,0.0182677799705118
December,1.0097964463534,0.88395570582642,1.15355198947966,0.885846893375251,Salmonellosis,temperature splines with 5 df,0.0182677799705118
