disease,year,cases,pop,inc_100k
Campylobacteriosis,2013,7551,8176573,92.3492030218528
Campylobacteriosis,2014,7546,8274608,91.1946523629881
Campylobacteriosis,2015,6870,8362816,82.1493621287375
Campylobacteriosis,2016,8075,8457360,95.4789674319173
Campylobacteriosis,2017,7242,8522244,84.9776185708834
Campylobacteriosis,2018,7728,8582905,90.0394446868514
Campylobacteriosis,2019,7253,8644780,83.9003421718078
Campylobacteriosis,2020,6042,8709355,69.3736792219401
Campylobacteriosis,2021,6802,8778099,77.4883035609419
Campylobacteriosis,2022,7645,8855062,86.3347992368659
Campylobacteriosis,2023,6784,9002273,75.3587455079401
Campylobacteriosis,2024,8360,9091915,91.9498257517806
Campylobacteriosis,2025,8716,9091915,95.8653924943205
Salmonellosis,2013,1271,8176573,15.5444096200205
Salmonellosis,2014,1240,8274608,14.9856041518825
Salmonellosis,2015,1355,8362816,16.2026762277204
Salmonellosis,2016,1520,8457360,17.9725115165962
Salmonellosis,2017,1836,8522244,21.5436216095197
Salmonellosis,2018,1470,8582905,17.127068282825
Salmonellosis,2019,1543,8644780,17.8489215457189
Salmonellosis,2020,1249,8709355,14.3409012492888
Salmonellosis,2021,1484,8778099,16.9057104505201
Salmonellosis,2022,1844,8855062,20.8242471933003
Salmonellosis,2023,1823,9002273,20.2504411941295
Salmonellosis,2024,2263,9091915,24.8902458942918
Salmonellosis,2025,2288,9091915,25.1652154689084
