disease,cal,mean_cases,mean_inc_day
Campylobacteriosis,1,642,0.240119985866469
Salmonellosis,1,92.8461538461538,0.0345289084846107
Campylobacteriosis,2,341.615384615385,0.139834896064378
Salmonellosis,2,70.3076923076923,0.0286392183707513
Campylobacteriosis,3,362.615384615385,0.135114167081784
Salmonellosis,3,77,0.0285950183955921
Campylobacteriosis,4,384.230769230769,0.148206510771516
Salmonellosis,4,90.3846153846154,0.0347142350745499
Campylobacteriosis,5,536.384615384615,0.199841875594319
Salmonellosis,5,110.384615384615,0.0409185294063889
Campylobacteriosis,6,713.538461538462,0.274651420719242
Salmonellosis,6,111.923076923077,0.0428539705520844
Campylobacteriosis,7,895.307692307692,0.333234414266376
Salmonellosis,7,168.461538461538,0.0623850150969748
Campylobacteriosis,8,999.846153846154,0.372240398106808
Salmonellosis,8,292.692307692308,0.10858662690507
Campylobacteriosis,9,742.230769230769,0.285732805973316
Salmonellosis,9,216.230769230769,0.0826876656571551
Campylobacteriosis,10,654.076923076923,0.243728966732572
Salmonellosis,10,194.923076923077,0.072233957614666
Campylobacteriosis,11,559.153846153846,0.2154979965916
Salmonellosis,11,121.461538461538,0.0466668371817807
Campylobacteriosis,12,600.846153846154,0.224397499246131
Salmonellosis,12,83.0769230769231,0.0308661252996041
